	0.00334856	0.0000275673
0.1	0.0032945	0.0000275711
0.2	0.00326014	0.0000275749
0.3	0.00323749	0.0000275788
0.4	0.00321936	0.0000275826
0.5	0.00320396	0.0000275865
0.6	0.00319061	0.0000275904
0.7	0.00317879	0.0000275943
0.8	0.00316841	0.0000275982
0.9	0.00315932	0.0000276021
1	0.00315149	0.0000276061
1.5	0.00312635	0.000027626
2	0.00311858	0.0000276463
2.5	0.00311458	0.0000276667
3	0.00311053	0.000027687
3.5	0.00310628	0.0000277072
4	0.00310191	0.0000277274
4.5	0.00309744	0.0000277476
5	0.00309286	0.0000277677
5.5	0.0030882	0.0000277878
6	0.00308347	0.0000278078
6.5	0.00307859	0.0000278278
7	0.00307361	0.0000278477
7.5	0.00306857	0.0000278675
8	0.00306346	0.0000278873
8.5	0.00305838	0.000027907
9	0.00305329	0.0000279267
9.5	0.00304819	0.0000279464
10	0.00304307	0.000027966
11	0.0030329	0.0000280052
12	0.00302275	0.0000280442
13	0.00301267	0.000028083
14	0.00300264	0.0000281218
15	0.0029927	0.0000281603
16	0.00298284	0.0000281988
17	0.00297307	0.0000282371
18	0.00296339	0.0000282753
19	0.00295376	0.0000283134
20	0.00294414	0.0000283513
21	0.00293455	0.0000283891
22	0.00292499	0.0000284269
23	0.00291546	0.0000284647
24	0.00290596	0.0000285025
25	0.0028965	0.0000285401
26	0.00288707	0.0000285777
27	0.00287769	0.0000286152
28	0.00286834	0.0000286527
29	0.00285905	0.0000286901
30	0.00284981	0.0000287275
31	0.00284062	0.0000287649
32	0.00283148	0.0000288022
33	0.00282239	0.0000288395
34	0.00281337	0.0000288767
35	0.0028044	0.0000289139
36	0.00279548	0.0000289511
37	0.00278664	0.0000289882
38	0.00277786	0.0000290254
39	0.00276914	0.0000290625
40	0.00276042	0.0000290995
41	0.00275171	0.0000291366
42	0.002743	0.0000291736
43	0.00273428	0.0000292106
44	0.00272557	0.0000292475
45	0.00271685	0.0000292843
46	0.00270813	0.0000293212
47	0.00269942	0.000029358
48	0.0026907	0.0000293947
49	0.00268199	0.0000294315
50	0.00267329	0.0000294681
51	0.00266459	0.0000295048
52	0.00265588	0.0000295413
53	0.00264719	0.0000295779
54	0.0026385	0.0000296144
55	0.00262981	0.0000296508
56	0.00262112	0.0000296872
57	0.00261245	0.0000297235
58	0.00260378	0.0000297598
59	0.00259511	0.000029796
60	0.00258645	0.0000298321
61	0.00257781	0.0000298682
62	0.00256917	0.0000299042
63	0.00256054	0.0000299402
64	0.00255191	0.000029976
65	0.00254329	0.0000300118
